Name|Home Page Personalization|Control Center|Disable ability to perform assignment selection|Earning history for Employees|My Availability|Record location data|View location data|Allow punch without accurate geolocation|Punch restrictions based on geofence area|Punching outside of geofence area|View entire Known Place area|Impersonation Access|Delete Predictive Tags|Budget Pattern|Budget Calendar|Plan Pattern|Plan Calendar|Budget Volume|Plan Volume|Actual Volume|Actual Calendar|Request Submission Control|Request Period Extended Access|Personal Hyperfinds for Employee Query|Case Details|Case Defaults|Control Center Profile|Alert Profile|Control Center Notification Mapping|Set up workflow notifications|Core Permissions
Default |disallowed|disallowed|disallowed|allowed|allowed|disallowed|disallowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed
ESS PCE-Notes-PE|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS Posted|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS Posted-MP|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS Timestamp|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS UnPosted|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS UnPosted-MP|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
ESS VO|disallowed|allowed|disallowed|allowed|allowed|disallowed|allowed|allowed|disallowed|allowed|disallowed|allowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed
SysAdmin|allowed|allowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed
FSU SuperUser|allowed|allowed|disallowed|disallowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed|allowed
